domain,classification_basis,experiment_id,model,analysis_family,category,lead_band,rmse_mean,n_initializations,mean_area_km2
pan_arctic,target_date,2023_2025_ver2,CNN,verification_state,compact_ice,L1-5,0.0494789539488104,282,
pan_arctic,target_date,2023_2025_ver2,CNN,verification_state,compact_ice,L16-30,0.1233816573611742,282,
pan_arctic,target_date,2023_2025_ver2,CNN,verification_state,compact_ice,L6-15,0.0815272714377412,282,
pan_arctic,target_date,2023_2025_ver2,CNN,verification_state,miz,L1-5,0.0676460848773648,282,
pan_arctic,target_date,2023_2025_ver2,CNN,verification_state,miz,L16-30,0.1782370315718296,282,
pan_arctic,target_date,2023_2025_ver2,CNN,verification_state,miz,L6-15,0.1238598672818713,282,
pan_arctic,target_date,2023_2025_ver2,CNN,verification_state,open_water,L1-5,0.0233488676582627,282,
pan_arctic,target_date,2023_2025_ver2,CNN,verification_state,open_water,L16-30,0.0693077519537021,282,
pan_arctic,target_date,2023_2025_ver2,CNN,verification_state,open_water,L6-15,0.0479953374720679,282,
pan_arctic,target_date,2023_2025_ver2,GNN,verification_state,compact_ice,L1-5,0.0542564635283292,282,
pan_arctic,target_date,2023_2025_ver2,GNN,verification_state,compact_ice,L16-30,0.1784237636720935,282,
pan_arctic,target_date,2023_2025_ver2,GNN,verification_state,compact_ice,L6-15,0.1008377312802963,282,
pan_arctic,target_date,2023_2025_ver2,GNN,verification_state,miz,L1-5,0.0713710992849581,282,
pan_arctic,target_date,2023_2025_ver2,GNN,verification_state,miz,L16-30,0.200615355105975,282,
pan_arctic,target_date,2023_2025_ver2,GNN,verification_state,miz,L6-15,0.1380181611550789,282,
pan_arctic,target_date,2023_2025_ver2,GNN,verification_state,open_water,L1-5,0.035722270904367,282,
pan_arctic,target_date,2023_2025_ver2,GNN,verification_state,open_water,L16-30,0.1412087436038897,282,
pan_arctic,target_date,2023_2025_ver2,GNN,verification_state,open_water,L6-15,0.090126479672398,282,
pan_arctic,target_date,2023_2025_ver2,U-Net,verification_state,compact_ice,L1-5,0.0488559971811713,282,
pan_arctic,target_date,2023_2025_ver2,U-Net,verification_state,compact_ice,L16-30,0.1208243933601008,282,
pan_arctic,target_date,2023_2025_ver2,U-Net,verification_state,compact_ice,L6-15,0.0829784511417211,282,
pan_arctic,target_date,2023_2025_ver2,U-Net,verification_state,miz,L1-5,0.0697258509827752,282,
pan_arctic,target_date,2023_2025_ver2,U-Net,verification_state,miz,L16-30,0.1740284606114683,282,
pan_arctic,target_date,2023_2025_ver2,U-Net,verification_state,miz,L6-15,0.1266508267897602,282,
pan_arctic,target_date,2023_2025_ver2,U-Net,verification_state,open_water,L1-5,0.0235004466377929,282,
pan_arctic,target_date,2023_2025_ver2,U-Net,verification_state,open_water,L16-30,0.0677983252022011,282,
pan_arctic,target_date,2023_2025_ver2,U-Net,verification_state,open_water,L6-15,0.0447653271562731,282,
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_gradient,extreme,L1-5,0.0816404571650688,282,1322570.8143018123
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_gradient,extreme,L16-30,0.1996302021002378,282,1322570.8143018123
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_gradient,extreme,L6-15,0.1502430747413657,282,1322570.8143018123
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_gradient,high,L1-5,0.0618011562315804,282,3042222.6430306397
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_gradient,high,L16-30,0.1718679362786088,282,3042222.6430306397
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_gradient,high,L6-15,0.1188870256375376,282,3042222.6430306397
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_gradient,low,L1-5,0.0112369607271799,282,4620964.340297989
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_gradient,low,L16-30,0.0552246795543955,282,4620964.340297989
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_gradient,low,L6-15,0.0268470151548098,282,4620964.340297989
