model,analysis_family,category,lead_day,rmse_mean,n_initializations
CNN,initial_gradient,extreme,1,0.04556345314153191,282
CNN,initial_gradient,extreme,2,0.06522297352244401,282
CNN,initial_gradient,extreme,3,0.08005389735497989,282
CNN,initial_gradient,extreme,4,0.09216207566752367,282
CNN,initial_gradient,extreme,5,0.10232000970313948,282
CNN,initial_gradient,extreme,6,0.1110350009776687,282
CNN,initial_gradient,extreme,7,0.11861070960050837,282
CNN,initial_gradient,extreme,8,0.1253269110749348,282
CNN,initial_gradient,extreme,9,0.13116768904803797,282
CNN,initial_gradient,extreme,10,0.136280075712307,282
CNN,initial_gradient,extreme,11,0.14072674675418648,282
CNN,initial_gradient,extreme,12,0.1445498391658545,282
CNN,initial_gradient,extreme,13,0.14805107265681658,282
CNN,initial_gradient,extreme,14,0.15135386042538718,282
CNN,initial_gradient,extreme,15,0.1545693392833534,282
CNN,initial_gradient,extreme,16,0.1575950152712782,282
CNN,initial_gradient,extreme,17,0.16041105149221938,282
CNN,initial_gradient,extreme,18,0.16302531984066634,282
CNN,initial_gradient,extreme,19,0.16549827464906433,282
CNN,initial_gradient,extreme,20,0.16788445477372804,282
CNN,initial_gradient,extreme,21,0.17000573286187642,282
CNN,initial_gradient,extreme,22,0.17218786223365593,282
CNN,initial_gradient,extreme,23,0.17417320915186446,282
CNN,initial_gradient,extreme,24,0.17596272219946701,282
CNN,initial_gradient,extreme,25,0.17767716630524666,282
CNN,initial_gradient,extreme,26,0.179288248032732,282
CNN,initial_gradient,extreme,27,0.18066393839281522,282
CNN,initial_gradient,extreme,28,0.18181800168885795,282
CNN,initial_gradient,extreme,29,0.1828498841219711,282
CNN,initial_gradient,extreme,30,0.18392709256239648,282
CNN,initial_gradient,high,1,0.03442729549204719,282
CNN,initial_gradient,high,2,0.04980767485536899,282
CNN,initial_gradient,high,3,0.06067188669304768,282
CNN,initial_gradient,high,4,0.06926212957701121,282
CNN,initial_gradient,high,5,0.07649277089440404,282
CNN,initial_gradient,high,6,0.08304151220980653,282
CNN,initial_gradient,high,7,0.08891064560927218,282
CNN,initial_gradient,high,8,0.09443062371351622,282
CNN,initial_gradient,high,9,0.09966429016412386,282
CNN,initial_gradient,high,10,0.1043950622347025,282
CNN,initial_gradient,high,11,0.1086363475372256,282
CNN,initial_gradient,high,12,0.1123721639051766,282
CNN,initial_gradient,high,13,0.11591591741704128,282
CNN,initial_gradient,high,14,0.11925177380289219,282
CNN,initial_gradient,high,15,0.12245418501094102,282
CNN,initial_gradient,high,16,0.1255853369334659,282
CNN,initial_gradient,high,17,0.12856876382105792,282
CNN,initial_gradient,high,18,0.13137497888696453,282
CNN,initial_gradient,high,19,0.13413187997697645,282
CNN,initial_gradient,high,20,0.136840425708071,282
CNN,initial_gradient,high,21,0.13942866087263156,282
CNN,initial_gradient,high,22,0.14213130906078283,282
CNN,initial_gradient,high,23,0.14454546150752945,282
CNN,initial_gradient,high,24,0.1468654258628934,282
CNN,initial_gradient,high,25,0.14906262166118459,282
CNN,initial_gradient,high,26,0.151113398070908,282
CNN,initial_gradient,high,27,0.15301196258415722,282
CNN,initial_gradient,high,28,0.15472079609813622,282
CNN,initial_gradient,high,29,0.15645150924868914,282
CNN,initial_gradient,high,30,0.1581702482899563,282
CNN,initial_gradient,low,1,0.0055416726380614146,282
CNN,initial_gradient,low,2,0.007788680413124227,282
CNN,initial_gradient,low,3,0.009518259919442378,282
CNN,initial_gradient,low,4,0.011100353100148756,282
CNN,initial_gradient,low,5,0.012529412688956798,282
CNN,initial_gradient,low,6,0.013995518477899996,282
CNN,initial_gradient,low,7,0.015392565055058392,282
CNN,initial_gradient,low,8,0.01674134250286658,282
CNN,initial_gradient,low,9,0.01816863977236664,282
CNN,initial_gradient,low,10,0.01967770739436138,282
CNN,initial_gradient,low,11,0.021223002243978956,282
CNN,initial_gradient,low,12,0.02271665470122472,282
CNN,initial_gradient,low,13,0.024265764439083022,282
CNN,initial_gradient,low,14,0.025775839993946992,282
CNN,initial_gradient,low,15,0.027280398841131825,282
CNN,initial_gradient,low,16,0.02876666682548375,282
CNN,initial_gradient,low,17,0.030269909636057576,282
CNN,initial_gradient,low,18,0.03196352105239681,282
CNN,initial_gradient,low,19,0.03384685805507723,282
CNN,initial_gradient,low,20,0.035922938506051424,282
CNN,initial_gradient,low,21,0.03817323043848398,282
CNN,initial_gradient,low,22,0.04051128435503671,282
CNN,initial_gradient,low,23,0.04289280508091241,282
CNN,initial_gradient,low,24,0.045367180313241336,282
CNN,initial_gradient,low,25,0.04783086575173319,282
CNN,initial_gradient,low,26,0.05038280779700948,282
CNN,initial_gradient,low,27,0.05298264532662562,282
CNN,initial_gradient,low,28,0.05571863816711256,282
CNN,initial_gradient,low,29,0.058581063902896906,282
CNN,initial_gradient,low,30,0.06164032243391888,282
CNN,initial_gradient,moderate,1,0.020948290450490226,282
CNN,initial_gradient,moderate,2,0.030036869797455013,282
CNN,initial_gradient,moderate,3,0.036054487932917774,282
CNN,initial_gradient,moderate,4,0.04062033354961902,282
CNN,initial_gradient,moderate,5,0.04450403138008924,282
CNN,initial_gradient,moderate,6,0.048078094858822085,282
CNN,initial_gradient,moderate,7,0.051446098941702885,282
CNN,initial_gradient,moderate,8,0.05468197521014859,282
CNN,initial_gradient,moderate,9,0.05788484153491627,282
CNN,initial_gradient,moderate,10,0.06092791433595383,282
