model,domain,lead_day,metric,mean,ci_lower,ci_upper,n_initializations,bootstrap_reps,block_days,seed_base,lead_seed
CNN,pan_arctic,1,rmse,0.0255631886462251,0.0232430422753106,0.0273161655554884,282,5000,7,20260816,20260817
CNN,pan_arctic,2,rmse,0.0367519206051943,0.0338741048819946,0.038583958201942,282,5000,7,20260816,20260818
CNN,pan_arctic,3,rmse,0.0446986313457252,0.0413449295395789,0.0467139981176626,282,5000,7,20260816,20260819
CNN,pan_arctic,4,rmse,0.0510163511339919,0.0473533070693131,0.0531576372508315,282,5000,7,20260816,20260820
CNN,pan_arctic,5,rmse,0.0563666920786793,0.0524061356517094,0.058676487272632,282,5000,7,20260816,20260821
CNN,pan_arctic,6,rmse,0.0611490017900261,0.0568747985518504,0.063560425142066,282,5000,7,20260816,20260822
CNN,pan_arctic,7,rmse,0.0654539406157812,0.0610490751434758,0.0676951597578216,282,5000,7,20260816,20260823
CNN,pan_arctic,8,rmse,0.0694544314416523,0.0648405036012662,0.0717462115587844,282,5000,7,20260816,20260824
CNN,pan_arctic,9,rmse,0.0732087507587515,0.068231342790289,0.0755557011830038,282,5000,7,20260816,20260825
CNN,pan_arctic,10,rmse,0.0766504267781325,0.0714407869729434,0.0793604459715969,282,5000,7,20260816,20260826
CNN,pan_arctic,11,rmse,0.0797641499501164,0.0745207592913289,0.0825105578844893,282,5000,7,20260816,20260827
CNN,pan_arctic,12,rmse,0.0825247905725311,0.0770722419547138,0.0860848073073385,282,5000,7,20260816,20260828
CNN,pan_arctic,13,rmse,0.0852278992529662,0.0794365964191569,0.0892317240865596,282,5000,7,20260816,20260829
CNN,pan_arctic,14,rmse,0.0878131661748418,0.0817671584316978,0.0924737014703886,282,5000,7,20260816,20260830
CNN,pan_arctic,15,rmse,0.0903375403743042,0.0838542473714127,0.0955531591179349,282,5000,7,20260816,20260831
CNN,pan_arctic,16,rmse,0.0928010455952722,0.0860986614349367,0.0981155920945722,282,5000,7,20260816,20260832
CNN,pan_arctic,17,rmse,0.0951974112014761,0.0882200763515873,0.1007701594754256,282,5000,7,20260816,20260833
CNN,pan_arctic,18,rmse,0.0975752400835173,0.0903702528329628,0.1034801303550463,282,5000,7,20260816,20260834
CNN,pan_arctic,19,rmse,0.0999942803833233,0.0924861920881882,0.1059285664130461,282,5000,7,20260816,20260835
CNN,pan_arctic,20,rmse,0.1024915870805679,0.0945331362978339,0.1086262265353227,282,5000,7,20260816,20260836
CNN,pan_arctic,21,rmse,0.1049707803285978,0.0966679518944557,0.1115428580940157,282,5000,7,20260816,20260837
CNN,pan_arctic,22,rmse,0.1075642303887199,0.098900358201549,0.1141296447658992,282,5000,7,20260816,20260838
CNN,pan_arctic,23,rmse,0.110070590628543,0.1008564852536958,0.1171141892809616,282,5000,7,20260816,20260839
CNN,pan_arctic,24,rmse,0.1125690736787966,0.1028281483842067,0.1193812384456746,282,5000,7,20260816,20260840
CNN,pan_arctic,25,rmse,0.1150540619555894,0.1050623750558484,0.1223054103516995,282,5000,7,20260816,20260841
CNN,pan_arctic,26,rmse,0.117514502306941,0.1070612693106158,0.1250381139165401,282,5000,7,20260816,20260842
CNN,pan_arctic,27,rmse,0.1199354741126419,0.1092538198367788,0.1275942009296859,282,5000,7,20260816,20260843
CNN,pan_arctic,28,rmse,0.1223661888905731,0.1111355115914302,0.1302238407082223,282,5000,7,20260816,20260844
CNN,pan_arctic,29,rmse,0.1248612075929059,0.1131025722067793,0.1331669547418661,282,5000,7,20260816,20260845
CNN,pan_arctic,30,rmse,0.127442561407628,0.1152443405456091,0.1361376090812597,282,5000,7,20260816,20260846
CNN,combined_nsr,1,rmse,0.0229062525021995,0.019914039123019,0.0250876433461642,282,5000,7,20260816,20260817
CNN,combined_nsr,2,rmse,0.0340767065116233,0.0299684443412325,0.0368576185269573,282,5000,7,20260816,20260818
CNN,combined_nsr,3,rmse,0.0425465849424238,0.0375910821530452,0.0458036560377483,282,5000,7,20260816,20260819
CNN,combined_nsr,4,rmse,0.0496420347423416,0.0438145238531636,0.0532464010813054,282,5000,7,20260816,20260820
CNN,combined_nsr,5,rmse,0.0557776891591792,0.0492325165240762,0.0597920501168969,282,5000,7,20260816,20260821
CNN,combined_nsr,6,rmse,0.06128025961469,0.0540282661201056,0.0656008161099073,282,5000,7,20260816,20260822
CNN,combined_nsr,7,rmse,0.0662546085470117,0.0586325812901623,0.0704793670712523,282,5000,7,20260816,20260823
CNN,combined_nsr,8,rmse,0.0709119548381941,0.0631466278432795,0.0749978230084161,282,5000,7,20260816,20260824
CNN,combined_nsr,9,rmse,0.0751223328698992,0.0667086877791884,0.0791943196792174,282,5000,7,20260816,20260825
CNN,combined_nsr,10,rmse,0.0789625429128789,0.0702280926716426,0.0831112066472809,282,5000,7,20260816,20260826
CNN,combined_nsr,11,rmse,0.0823750729696549,0.0738007829212498,0.0867364221573512,282,5000,7,20260816,20260827
CNN,combined_nsr,12,rmse,0.0854619326006182,0.0765614616468408,0.090225676491444,282,5000,7,20260816,20260828
CNN,combined_nsr,13,rmse,0.0883437634297532,0.0795202700990126,0.093305467784056,282,5000,7,20260816,20260829
CNN,combined_nsr,14,rmse,0.0910922740597574,0.0819499388192754,0.0968289199916301,282,5000,7,20260816,20260830
CNN,combined_nsr,15,rmse,0.0937893438842653,0.0841703411379928,0.0999309223270029,282,5000,7,20260816,20260831
CNN,combined_nsr,16,rmse,0.0964200566430424,0.0867356422262161,0.1026260470783241,282,5000,7,20260816,20260832
CNN,combined_nsr,17,rmse,0.0990146551008719,0.0891699623367894,0.1051899683897808,282,5000,7,20260816,20260833
CNN,combined_nsr,18,rmse,0.1016697524102261,0.0914780428368566,0.1080134569907165,282,5000,7,20260816,20260834
CNN,combined_nsr,19,rmse,0.1043888053137488,0.0936119546914864,0.1106915316951122,282,5000,7,20260816,20260835
CNN,combined_nsr,20,rmse,0.1072109574512333,0.0958830355145023,0.113635382459735,282,5000,7,20260816,20260836
CNN,combined_nsr,21,rmse,0.1099909667152897,0.0981908379942732,0.1167183891399017,282,5000,7,20260816,20260837
CNN,combined_nsr,22,rmse,0.1128562249437676,0.10057277339709,0.1193532705369876,282,5000,7,20260816,20260838
CNN,combined_nsr,23,rmse,0.115613766645517,0.1029040050509198,0.1224523344179613,282,5000,7,20260816,20260839
CNN,combined_nsr,24,rmse,0.118316329209705,0.1047204111377456,0.1245557069387042,282,5000,7,20260816,20260840
CNN,combined_nsr,25,rmse,0.1210577828706039,0.1071050984549299,0.1280117122817828,282,5000,7,20260816,20260841
CNN,combined_nsr,26,rmse,0.1238938004846231,0.1090202875868542,0.1310211343806531,282,5000,7,20260816,20260842
CNN,combined_nsr,27,rmse,0.126721026041738,0.1113763806509528,0.1344296045603586,282,5000,7,20260816,20260843
CNN,combined_nsr,28,rmse,0.1296963310367513,0.1135688015555432,0.1378413334816227,282,5000,7,20260816,20260844
CNN,combined_nsr,29,rmse,0.1327631419599501,0.1160339158811556,0.1416874169333303,282,5000,7,20260816,20260845
CNN,combined_nsr,30,rmse,0.1361003736293806,0.1185983260700714,0.1459347746574515,282,5000,7,20260816,20260846
CNN,barents,1,rmse,0.010689511992977,0.0071235011071025,0.0133116311286812,282,5000,7,20260816,20260817
CNN,barents,2,rmse,0.0154650980175024,0.0102700590459503,0.0195988814407909,282,5000,7,20260816,20260818
CNN,barents,3,rmse,0.0195181043506631,0.0131508250759458,0.0247765715995406,282,5000,7,20260816,20260819
CNN,barents,4,rmse,0.0231981027502196,0.0155622080337198,0.0296476272468154,282,5000,7,20260816,20260820
CNN,barents,5,rmse,0.0264407161348416,0.0172146743637394,0.0343165953354705,282,5000,7,20260816,20260821
CNN,barents,6,rmse,0.0293891135285138,0.0193741407748791,0.0380657188162788,282,5000,7,20260816,20260822
CNN,barents,7,rmse,0.031880668680828,0.0204933561136001,0.0417155953339205,282,5000,7,20260816,20260823
CNN,barents,8,rmse,0.0339445656020264,0.0218751404589694,0.0447391229061712,282,5000,7,20260816,20260824
CNN,barents,9,rmse,0.0357164737662716,0.0230107656308618,0.0476792803412715,282,5000,7,20260816,20260825
CNN,barents,10,rmse,0.0371250842985785,0.0234627625191859,0.0509250027984061,282,5000,7,20260816,20260826
CNN,barents,11,rmse,0.0383571189751165,0.0237907817965083,0.0529416771912426,282,5000,7,20260816,20260827
CNN,barents,12,rmse,0.0393518347549437,0.024138789904611,0.0546527004073506,282,5000,7,20260816,20260828
CNN,barents,13,rmse,0.0406350185742653,0.0248657743985155,0.0571419851083498,282,5000,7,20260816,20260829
CNN,barents,14,rmse,0.0419849136875797,0.0255725244778397,0.0592238139541043,282,5000,7,20260816,20260830
CNN,barents,15,rmse,0.0433652664529689,0.0260783990339683,0.0622504833088927,282,5000,7,20260816,20260831
CNN,barents,16,rmse,0.044759317012445,0.0270538727207237,0.0644656388890586,282,5000,7,20260816,20260832
CNN,barents,17,rmse,0.0462026088623046,0.0276819390936067,0.0685723239625942,282,5000,7,20260816,20260833
CNN,barents,18,rmse,0.047703198872517,0.0285398932019342,0.0699653316337293,282,5000,7,20260816,20260834
CNN,barents,19,rmse,0.0490132362070468,0.0287790305697062,0.0709589228095813,282,5000,7,20260816,20260835
CNN,barents,20,rmse,0.0501901740059977,0.0296739157965071,0.0739295034838842,282,5000,7,20260816,20260836
CNN,barents,21,rmse,0.0512879561918302,0.030312942338843,0.0736103319963988,282,5000,7,20260816,20260837
CNN,barents,22,rmse,0.0522737369813812,0.0311211783999043,0.0756073188202162,282,5000,7,20260816,20260838
CNN,barents,23,rmse,0.053104527638887,0.0316193933660067,0.0764545868922061,282,5000,7,20260816,20260839
CNN,barents,24,rmse,0.0539390033496337,0.0317141426396195,0.0776046781955153,282,5000,7,20260816,20260840
CNN,barents,25,rmse,0.0547623749803129,0.0325098705897636,0.0788260080857415,282,5000,7,20260816,20260841
CNN,barents,26,rmse,0.0554001192222825,0.0323588175099479,0.0795774396766339,282,5000,7,20260816,20260842
CNN,barents,27,rmse,0.0560955360916867,0.0326421921903917,0.0797711924713867,282,5000,7,20260816,20260843
CNN,barents,28,rmse,0.0567466970083979,0.0332950880768741,0.0804119390749329,282,5000,7,20260816,20260844
CNN,barents,29,rmse,0.0574320701401578,0.0335727852726037,0.0800478231069542,282,5000,7,20260816,20260845
CNN,barents,30,rmse,0.0580211023862352,0.0338873314687237,0.0809202478823492,282,5000,7,20260816,20260846
CNN,kara,1,rmse,0.0226535911398527,0.0162099979850072,0.0271170588807596,282,5000,7,20260816,20260817
CNN,kara,2,rmse,0.0329992239551676,0.0236075932387266,0.0392691457626953,282,5000,7,20260816,20260818
CNN,kara,3,rmse,0.0414530519288057,0.029941680731793,0.0490107545984068,282,5000,7,20260816,20260819
CNN,kara,4,rmse,0.0487220262597601,0.0355495287727342,0.0572513318924754,282,5000,7,20260816,20260820
CNN,kara,5,rmse,0.0551657878942716,0.0400185183906949,0.0641119260717066,282,5000,7,20260816,20260821
CNN,kara,6,rmse,0.0612625691323521,0.0456857864743651,0.0706260075187479,282,5000,7,20260816,20260822
CNN,kara,7,rmse,0.0666068950986372,0.0492346808937007,0.0762957463549191,282,5000,7,20260816,20260823
CNN,kara,8,rmse,0.0714979935241753,0.0537279696016365,0.0810643971850999,282,5000,7,20260816,20260824
CNN,kara,9,rmse,0.0757560013716768,0.057683978163316,0.0852609288464353,282,5000,7,20260816,20260825
CNN,kara,10,rmse,0.0792759370157721,0.0607389836931782,0.089244137378467,282,5000,7,20260816,20260826
CNN,kara,11,rmse,0.082187923178652,0.063890841715582,0.0925429979496679,282,5000,7,20260816,20260827
CNN,kara,12,rmse,0.0848129470401877,0.0660445439722073,0.0957087045188337,282,5000,7,20260816,20260828
CNN,kara,13,rmse,0.087420128375131,0.0678699769840263,0.0983335580877704,282,5000,7,20260816,20260829
CNN,kara,14,rmse,0.0899689343879232,0.0711640609270407,0.1007254005281184,282,5000,7,20260816,20260830
CNN,kara,15,rmse,0.0924181157363839,0.0736764466832108,0.1033099991894878,282,5000,7,20260816,20260831
CNN,kara,16,rmse,0.0947036575995147,0.0761423173531,0.1054024938743632,282,5000,7,20260816,20260832
CNN,kara,17,rmse,0.0967316285614803,0.078371238753739,0.1070857218580834,282,5000,7,20260816,20260833
CNN,kara,18,rmse,0.0987156714699431,0.0805825505710346,0.1088133534044348,282,5000,7,20260816,20260834
