init_date,n_models,miz_rmse_mean,compact_rmse_mean,contrast_mean,contrast_sd,contrast_min,miz_cells_min,compact_cells_min,miz_area_km2_min,compact_area_km2_min,score,rank
2024-09-24,3,0.34790977902770054,0.15074772454081897,0.1971620544868815,0.04310202845427433,0.14279959237721299,14638.0,54815.0,2376222.197045732,3891857.540772932,1.694952762781441,1
2024-09-23,3,0.3341902270016524,0.14574016064659068,0.18845006635506178,0.048807597273435865,0.12323366643544637,14348.0,54318.0,2314682.8718044003,3791811.654112761,1.533060182339769,2
2024-09-25,3,0.359446431569255,0.18502272879477114,0.17442370277448385,0.034123736102065455,0.14642321205573394,13823.0,56768.0,2305695.7529855925,4218861.661852891,1.3497385814426235,3
2024-09-26,3,0.36621790429541207,0.20508857783803694,0.1611293264573751,0.034452651157320845,0.13146814561325088,13029.0,58232.0,2182344.4391465127,4479671.042494304,1.1076850194693966,4
2024-09-22,3,0.32106003275742306,0.1575782262867692,0.16348180647065386,0.054236784194924254,0.09109776955705456,12526.0,55375.0,2040778.1515709234,3906210.855808236,1.0954302863751249,5
2024-09-27,3,0.37322064960541024,0.2186744564875072,0.15454619311790305,0.03586469649648645,0.11490494515038996,13309.0,58685.0,2229469.689303338,4589364.044836358,0.9715418178955342,6
2024-09-28,3,0.35497359319500904,0.23719659999038475,0.11777699320462427,0.03312224785518179,0.07716807398636877,15274.0,57226.0,2196904.7674742704,4717660.724278496,0.402212264268219,7
2025-08-08,3,0.16854949461530114,0.08741297396549265,0.08113652064980849,0.021464986278404066,0.05298285854684816,41351.0,17058.0,3431824.7919031354,875433.1795898183,0.23510493964891427,8
2023-08-03,3,0.15100999584982008,0.07762264648932739,0.0733873493604927,0.008102347219175106,0.062395933335085974,34635.0,24889.0,3040884.3205791307,1214376.484078009,0.23451832440638154,9
2025-07-02,3,0.154808685879751,0.06807508215197298,0.08673360372777801,0.03871705397628634,0.056174663675677125,51873.0,14731.0,4989922.9956132285,751063.0379907642,0.23354045761167855,10
2025-07-04,3,0.1569050381097294,0.07015432876827901,0.08675070934145039,0.04824630091623765,0.05215373217852007,42114.0,23540.0,4419900.086477593,1141664.1875732928,0.16103093922930883,11
2025-07-05,3,0.1590060247053758,0.07233521506522333,0.08667080964015246,0.04749704569481842,0.05007676879811036,42714.0,22846.0,4382700.245673546,1171949.9144386146,0.16087103391579313,12
2024-07-02,3,0.15874211459052293,0.07466363744296538,0.08407847714755756,0.04425832287891023,0.051352402009621226,53960.0,13359.0,5383156.765651958,466141.84547078423,0.14061752239893616,13
2023-08-02,3,0.14896999766846042,0.08226270837737965,0.06670728929108076,0.005992615509319074,0.062457874056379606,33470.0,26404.0,3063407.8813818553,1242653.7308934557,0.1401423119014076,14
2025-08-12,3,0.19271436459009514,0.11906156339327446,0.07365280119682066,0.01951641145197991,0.046059473940281453,38812.0,19831.0,3285711.891216156,1025467.4180953652,0.07356675404970099,15
2025-07-03,3,0.1586461246385714,0.07819888237221871,0.08044724226635268,0.04692466224819384,0.04290920686499368,46541.0,19908.0,4687033.192433796,1022974.6176062011,0.059836266030683094,16
2025-08-11,3,0.19274082971256998,0.12193790886083489,0.07080292085173509,0.017374968462787563,0.04673656973004367,39181.0,19059.0,3266332.9116749787,1004253.7254245322,0.04045116040690296,17
2025-07-21,3,0.17780304798423321,0.11013273350302333,0.06767031448120989,0.014377566358294023,0.048539890627049595,43697.0,17733.0,3925404.4380123853,939204.4776926847,0.038572038697081375,18
2025-08-09,3,0.1703119592627881,0.10175618315556949,0.06855577610721864,0.01924507249619726,0.04603606828557785,40680.0,17751.0,3391087.1434297236,921860.23635574,0.033546934124561334,19
2023-08-09,3,0.15522666398273902,0.09434105642030606,0.06088560756243294,0.009370357116146722,0.05393605910368214,40008.0,18278.0,2982858.5250291643,1097694.9471216525,0.004288995461626852,20
2025-07-20,3,0.18620379601846823,0.12181979097978225,0.06438400503868597,0.013196698482421016,0.0459058875148293,39880.0,21688.0,3863620.3393372195,1034569.1658099199,-0.025607639990355494,21
2025-08-10,3,0.185764967695243,0.11954110258293726,0.06622386511230573,0.020029853552509413,0.03983393991490791,41076.0,17283.0,3335085.4631373542,959200.9386353346,-0.04263306897670781,22
2023-08-11,3,0.1463170746040903,0.08903676007977442,0.05728031452431587,0.01055033729982041,0.04413952898052101,39132.0,19005.0,2977335.2922634664,1089206.169585829,-0.047748212650386,23
2025-07-19,3,0.16814652947823172,0.10709016927465898,0.061056360203572746,0.018303910381941034,0.04006257293849014,40416.0,21175.0,3837926.459733998,1057813.4490620582,-0.08293155986006964,24
2023-08-12,3,0.14841408447872825,0.09306305389577908,0.05535103058294915,0.010849081295559289,0.04384991384135935,37374.0,20591.0,2920798.888708847,1130240.673111038,-0.08690775136112644,25
2023-08-10,3,0.14846143244777385,0.09466533573562104,0.05379609671215282,0.01002778119254227,0.04054123380897848,41885.0,16312.0,3011669.0610247063,1059889.167954155,-0.1075410466382504,26
2023-08-13,3,0.15312887319315097,0.0967922206359181,0.05633665255723288,0.016147374769483143,0.04355826574539323,36761.0,21060.0,2932905.457409309,1101142.146447795,-0.11770537840200296,27
2025-07-25,3,0.18549334930280534,0.12375651316041307,0.06173683614239226,0.02438970622804146,0.034186422342193795,40370.0,20153.0,3611819.6488872366,1063487.0112277416,-0.14981624454915965,28
2023-08-01,3,0.14066199394352338,0.0935636164308945,0.04709837751262889,0.0028431132998330212,0.04359343205931496,33050.0,26912.0,3054164.7497027405,1255487.9653480356,-0.15417465550719012,29
2023-08-24,3,0.1742744462481056,0.11990866368718665,0.054365782560918945,0.01108217347141548,0.038775175598533856,25291.0,33404.0,2466418.625560441,1676097.4449313013,-0.15698909345195233,30
2023-08-04,3,0.15111684417154833,0.09772968934295427,0.053387154828594074,0.015511954999389415,0.03850172949447081,36007.0,23325.0,3018008.3886127914,1206965.3734518,-0.15928880899621972,31
2023-08-23,3,0.1707469940500653,0.11693732938730723,0.05380966466275803,0.013035978225583235,0.03564139164942062,25668.0,32594.0,2422475.3036180306,1659748.5128813481,-0.17347369408956467,32
2025-07-22,3,0.1801596968564323,0.12369671757016609,0.05646297928626622,0.019487492771756917,0.03215355612353463,46575.0,14596.0,3904541.460501049,896029.2604687357,-0.19358582257058665,33
2023-08-14,3,0.15648180054392655,0.10413217756327608,0.052349622980650434,0.01724795637562103,0.03864184309857935,35730.0,22066.0,2884149.7734806943,1147418.3645716708,-0.2001526759613285,34
2023-08-05,3,0.16444015312928192,0.1104567265402977,0.05398342658898422,0.01987401956932448,0.033851481807674555,37469.0,21770.0,3102370.9802698526,1112869.9470786715,-0.20715967209687364,35
2023-08-25,3,0.17506802040028194,0.12329939181044314,0.05176862858983881,0.012204935985127004,0.035532877567566845,24528.0,34488.0,2413585.202824834,1770834.5463566026,-0.21084072691421835,36
2025-07-24,3,0.18690093061551982,0.13292626598833288,0.053974664627186954,0.017791217916323158,0.0380276582865863,40958.0,19762.0,3721322.69462245,990818.2060988004,-0.2371649710712466,37
2024-07-18,3,0.1707937123904467,0.1258864210966061,0.04490729129384055,0.0009962169575480542,0.04378420959597293,53007.0,7836.0,4140633.21513758,516619.11908540543,-0.23832263304949014,38
2024-07-16,3,0.17754612314588938,0.1307886313769904,0.046757491768899005,0.005087899019972254,0.04015895437908204,53162.0,8920.0,4277572.555518012,582291.8631961081,-0.24979310033895658,39
2024-07-15,3,0.16274345765583118,0.11820526990409207,0.04453818775173912,0.004486848331958038,0.03871968761029315,54650.0,7867.0,4369122.077082162,564451.2093077956,-0.25365965301745763,40
2024-07-17,3,0.1740028084141603,0.1276048773126485,0.04639793110151182,0.00761286272604339,0.03600349508271694,53946.0,7500.0,4291120.512358833,473626.63339570316,-0.26701476877089314,41
2024-07-19,3,0.16640715802311704,0.12263460516874176,0.043772552854375264,0.003638357919537424,0.03864127882867438,51811.0,8774.0,4016279.104743883,590972.3098410793,-0.26789137381153755,42
2023-08-22,3,0.1688995113374007,0.12245323007959243,0.04644628125780825,0.0130799005608294,0.027951864294817774,26895.0,31246.0,2456512.1239509946,1615149.6396608818,-0.29536592194537753,43
2023-08-21,3,0.16733873955367973,0.12054500880251434,0.046793730751165385,0.015857903123162296,0.02452386719734223,28023.0,30160.0,2492287.131169749,1592362.6752163405,-0.3063410162083544,44
2025-07-23,3,0.18675809790988307,0.13952265219170332,0.04723544571817978,0.014520921390836671,0.0272374988342636,41982.0,18797.0,3696801.0120031596,1024242.7819447587,-0.3279794398555775,45
2023-08-16,3,0.16549992237588654,0.12265206360957721,0.04284785876630934,0.011558305761983552,0.02751652544370195,36354.0,21520.0,2872170.2835083744,1177011.3761338596,-0.33883711714158105,46
2023-08-15,3,0.15900095127609973,0.11620497115216522,0.042795980123934534,0.014375497495552614,0.023620874479419754,35431.0,22409.0,2837171.4074867913,1202747.4804706464,-0.347026357030068,47
2023-07-30,3,0.14334525884241905,0.10860126195486886,0.034743996887550206,0.0026674870055218075,0.032775765354149625,31498.0,28859.0,3032114.4261812055,1337704.5883230262,-0.3684402191949981,48
2024-07-20,3,0.16417039114536167,0.12387383193774988,0.040296559207611764,0.012227762579135514,0.023941310355264228,50787.0,9627.0,3918607.358810268,648781.8545578428,-0.3844049560741064,49
2023-08-26,3,0.17351116978813183,0.13250281604202022,0.041008353746111614,0.011971187550643754,0.026372106066265638,24558.0,34604.0,2403994.022784549,1809936.3230017666,-0.3891016562236143,50
2023-08-27,3,0.18511807914461853,0.14460416757720998,0.04051391156740856,0.01298163477054014,0.025392092693544116,23779.0,35802.0,2346481.2049448513,1919989.5322508093,-0.4279671689215618,51
2023-07-31,3,0.1423706086666271,0.11216709560178506,0.030203513064842036,0.000783228146517615,0.02911373766023241,31965.0,28207.0,3011070.554579557,1330936.0534493516,-0.43016886876702815,52
2023-08-17,3,0.16719813791703927,0.1293264012067835,0.03787173671025578,0.012512333990538225,0.020184428111217928,35454.0,22309.0,2799358.137176383,1226742.1095684485,-0.43375115211093385,53
2024-07-11,3,0.16948092493214187,0.1350042917687744,0.03447663316336747,0.01023129373174839,0.026954104144472857,47367.0,16108.0,4105616.9331381344,972827.5189885405,-0.47964266516911386,54
2023-07-29,3,0.14427723468788992,0.12573645653483032,0.01854077815305961,0.005104139099605054,0.013222092887095194,28631.0,31885.0,2955063.3854310694,1440807.9993500737,-0.6634940682486156,55
2024-07-12,3,0.1657651043144768,0.15899506833015611,0.0067700359843206786,0.002484562434586882,0.003996582123000025,46437.0,16865.0,4050817.3907543747,1001706.5180512003,-0.8877854334885835,56
