domain,lead_band,miz_rmse,non_miz_rmse,miz_minus_non_miz_rmse,n_initializations,n_paired_initialization_leads,n_total_initialization_leads,n_excluded_initialization_leads,summary_support
barents,L1-5,0.08757633909234715,0.01252190716858071,0.07505443192376644,282,1405,1410,5,Same model-initialization-lead cases with nonempty MIZ and non-MIZ categories; equal mean of three model-wise RMSE values
barents,L16-30,0.20061711547361552,0.04715330144916771,0.15346381402444778,282,4215,4230,15,Same model-initialization-lead cases with nonempty MIZ and non-MIZ categories; equal mean of three model-wise RMSE values
barents,L6-15,0.15630676062235765,0.028422952285922554,0.1278838083364351,282,2810,2820,10,Same model-initialization-lead cases with nonempty MIZ and non-MIZ categories; equal mean of three model-wise RMSE values
chukchi,L1-5,0.06418944268867552,0.03399142239314616,0.030198020295529353,282,1395,1410,15,Same model-initialization-lead cases with nonempty MIZ and non-MIZ categories; equal mean of three model-wise RMSE values
chukchi,L16-30,0.187471124406588,0.12223561398916817,0.06523551041741985,282,4185,4230,45,Same model-initialization-lead cases with nonempty MIZ and non-MIZ categories; equal mean of three model-wise RMSE values
chukchi,L6-15,0.1286431806815356,0.07718716421276774,0.051456016468767844,282,2790,2820,30,Same model-initialization-lead cases with nonempty MIZ and non-MIZ categories; equal mean of three model-wise RMSE values
east_siberian,L1-5,0.06564416100078026,0.045450491245705486,0.020193669755074767,282,1410,1410,0,Same model-initialization-lead cases with nonempty MIZ and non-MIZ categories; equal mean of three model-wise RMSE values
east_siberian,L16-30,0.1920301888309187,0.15122687019537207,0.04080331863554664,282,4230,4230,0,Same model-initialization-lead cases with nonempty MIZ and non-MIZ categories; equal mean of three model-wise RMSE values
east_siberian,L6-15,0.13005103762677106,0.0981914825150305,0.03185955511174057,282,2820,2820,0,Same model-initialization-lead cases with nonempty MIZ and non-MIZ categories; equal mean of three model-wise RMSE values
kara,L1-5,0.08982339191966121,0.029321019357080293,0.06050237256258091,282,1410,1410,0,Same model-initialization-lead cases with nonempty MIZ and non-MIZ categories; equal mean of three model-wise RMSE values
kara,L16-30,0.23734550839451168,0.09805451379735357,0.1392909945971581,282,4071,4230,159,Same model-initialization-lead cases with nonempty MIZ and non-MIZ categories; equal mean of three model-wise RMSE values
kara,L6-15,0.17919170310420118,0.06523311532731708,0.11395858777688411,282,2805,2820,15,Same model-initialization-lead cases with nonempty MIZ and non-MIZ categories; equal mean of three model-wise RMSE values
laptev,L1-5,0.0692135113961641,0.0348524804036518,0.03436103099251231,282,1410,1410,0,Same model-initialization-lead cases with nonempty MIZ and non-MIZ categories; equal mean of three model-wise RMSE values
laptev,L16-30,0.21472737719410692,0.13270813112803156,0.08201924606607534,282,4229,4230,1,Same model-initialization-lead cases with nonempty MIZ and non-MIZ categories; equal mean of three model-wise RMSE values
laptev,L6-15,0.13875398646799267,0.07843688201609533,0.060317104451897335,282,2820,2820,0,Same model-initialization-lead cases with nonempty MIZ and non-MIZ categories; equal mean of three model-wise RMSE values
