domain,lead_band,changed_area_km2,valid_area_km2,transition_fraction
barents,L1-5,25366057.073967326,2119393932.222292,0.011968542840626957
barents,L16-30,238446826.9807322,6358181796.666876,0.03750236067577247
barents,L6-15,104116660.64344014,4238787864.444584,0.0245628382389178
chukchi,L1-5,62093080.04829604,1212060101.304956,0.051229373841646934
chukchi,L16-30,894661347.0199876,3636180303.914868,0.2460442751028481
chukchi,L6-15,300954132.56766385,2424120202.609912,0.12414983887500451
east_siberian,L1-5,130554620.87378976,1839410204.943533,0.07097634911610028
east_siberian,L16-30,1804920913.3667772,5518230614.830599,0.327083269864789
east_siberian,L6-15,634932412.5521966,3678820409.887066,0.1725913042250649
kara,L1-5,56759909.71412032,1258737486.0493262,0.04509273009121782
kara,L16-30,626340907.9626989,3776212458.1479783,0.16586484868223866
kara,L6-15,255017055.11327845,2517474972.0986524,0.10129874494866878
laptev,L1-5,77464033.41073161,1111228082.6465883,0.0697102913618212
laptev,L16-30,902154644.2970675,3333684247.9397645,0.27061790415652115
laptev,L6-15,353894482.2828108,2222456165.2931767,0.15923575358172548
