domain,lead_band,transition_type,transition_area_km2,valid_area_km2,area_fraction_of_valid_grid_days
barents,L1-5,compact_ice_to_miz,6875372.317149922,2119393932.222292,0.003244027555528927
barents,L1-5,compact_ice_to_open_water,11311.449359524639,2119393932.222292,5.33711510047781e-06
barents,L1-5,miz_to_compact_ice,3559595.1440779343,2119393932.222292,0.0016795344602810664
barents,L1-5,miz_to_open_water,11057875.51122679,2119393932.222292,0.005217470590581547
barents,L1-5,open_water_to_compact_ice,0.0,2119393932.222292,0.0
barents,L1-5,open_water_to_miz,3861902.652153153,2119393932.222292,0.001822173119134937
barents,L16-30,compact_ice_to_miz,44775823.73719384,6358181796.666876,0.007042237100025433
barents,L16-30,compact_ice_to_open_water,2495993.8412977704,6358181796.666876,0.0003925640884641322
barents,L16-30,miz_to_compact_ice,16003749.416539155,6358181796.666876,0.0025170323731430167
barents,L16-30,miz_to_open_water,139146480.82928008,6358181796.666876,0.021884633890497482
barents,L16-30,open_water_to_compact_ice,414778.67375690205,6358181796.666876,6.523542217278842e-05
barents,L16-30,open_water_to_miz,35610000.48266445,6358181796.666876,0.005600657801469618
barents,L6-15,compact_ice_to_miz,24345868.531115178,4238787864.444584,0.00574359210927515
barents,L6-15,compact_ice_to_open_water,152654.08103419066,4238787864.444584,3.60136166083398e-05
barents,L6-15,miz_to_compact_ice,7966252.055433375,4238787864.444584,0.0018793703082560862
barents,L6-15,miz_to_open_water,56398949.40879324,4238787864.444584,0.013305442785158888
barents,L6-15,open_water_to_compact_ice,0.0,4238787864.444584,0.0
barents,L6-15,open_water_to_miz,15252936.567064166,4238787864.444584,0.0035984194196193365
chukchi,L1-5,compact_ice_to_miz,14338537.465488374,1212060101.304956,0.011829889829762475
chukchi,L1-5,compact_ice_to_open_water,0.0,1212060101.304956,0.0
chukchi,L1-5,miz_to_compact_ice,6107321.334033217,1212060101.304956,0.005038794138556176
chukchi,L1-5,miz_to_open_water,33092369.008140225,1212060101.304956,0.027302580930196083
chukchi,L1-5,open_water_to_compact_ice,0.0,1212060101.304956,0.0
chukchi,L1-5,open_water_to_miz,8554852.240634229,1212060101.304956,0.0070581089431321995
chukchi,L16-30,compact_ice_to_miz,57896768.7645249,3636180303.914868,0.01592241416141844
chukchi,L16-30,compact_ice_to_open_water,5474160.828484531,3636180303.914868,0.001505470128252665
chukchi,L16-30,miz_to_compact_ice,56075140.368060954,3636180303.914868,0.015421441095120628
chukchi,L16-30,miz_to_open_water,574375022.9870214,3636180303.914868,0.15796109515488674
chukchi,L16-30,open_water_to_compact_ice,52214172.0330705,3636180303.914868,0.014359621269840353
chukchi,L16-30,open_water_to_miz,148626082.03882524,3636180303.914868,0.04087423329332927
chukchi,L6-15,compact_ice_to_miz,39293843.34372146,2424120202.609912,0.016209527605692168
chukchi,L6-15,compact_ice_to_open_water,28281.321250376877,2424120202.609912,1.1666633205699945e-05
chukchi,L6-15,miz_to_compact_ice,17313168.701401327,2424120202.609912,0.0071420421655498875
chukchi,L6-15,miz_to_open_water,198426240.3955942,2424120202.609912,0.0818549509970504
chukchi,L6-15,open_water_to_compact_ice,3690406.055659291,2424120202.609912,0.0015223692503721726
chukchi,L6-15,open_water_to_miz,42202192.75003717,2424120202.609912,0.017409282223134183
east_siberian,L1-5,compact_ice_to_miz,34761044.09255797,1839410204.943533,0.018897929346665267
east_siberian,L1-5,compact_ice_to_open_water,0.0,1839410204.943533,0.0
east_siberian,L1-5,miz_to_compact_ice,23421697.89723073,1839410204.943533,0.012733265170696244
east_siberian,L1-5,miz_to_open_water,54409335.88008213,1839410204.943533,0.029579772762950617
