domain,model,state,lead_day,rmse_mean,n_cases
combined_nsr,CNN,compact_ice,1,0.029116658432436358,282
combined_nsr,CNN,compact_ice,2,0.04463575290467342,282
combined_nsr,CNN,compact_ice,3,0.057518403740760206,282
combined_nsr,CNN,compact_ice,4,0.06886244481511505,282
combined_nsr,CNN,compact_ice,5,0.07688642295876022,282
combined_nsr,CNN,compact_ice,6,0.08445339013509817,282
combined_nsr,CNN,compact_ice,7,0.0922933559292271,282
combined_nsr,CNN,compact_ice,8,0.10215655680886052,282
combined_nsr,CNN,compact_ice,9,0.10999016628535946,282
combined_nsr,CNN,compact_ice,10,0.1180256029250834,282
combined_nsr,CNN,compact_ice,11,0.12632593047613527,282
combined_nsr,CNN,compact_ice,12,0.13866169662497582,282
combined_nsr,CNN,compact_ice,13,0.1456900987145499,282
combined_nsr,CNN,compact_ice,14,0.15217261878089525,282
combined_nsr,CNN,compact_ice,15,0.15750214128235449,282
combined_nsr,CNN,compact_ice,16,0.16281351027766083,282
combined_nsr,CNN,compact_ice,17,0.16817963597836869,282
combined_nsr,CNN,compact_ice,18,0.17167390159801613,282
combined_nsr,CNN,compact_ice,19,0.17640035888089517,282
combined_nsr,CNN,compact_ice,20,0.1822173887767243,282
combined_nsr,CNN,compact_ice,21,0.18797185390530446,282
combined_nsr,CNN,compact_ice,22,0.1955126811715869,282
combined_nsr,CNN,compact_ice,23,0.20222934303597595,282
combined_nsr,CNN,compact_ice,24,0.208058451820775,282
combined_nsr,CNN,compact_ice,25,0.21274859061861084,282
combined_nsr,CNN,compact_ice,26,0.21941010786950588,282
combined_nsr,CNN,compact_ice,27,0.22579901324518317,282
combined_nsr,CNN,compact_ice,28,0.23381390727465473,282
combined_nsr,CNN,compact_ice,29,0.24038289757988301,282
combined_nsr,CNN,compact_ice,30,0.24850537608201,282
combined_nsr,CNN,miz,1,0.037219172432502855,282
combined_nsr,CNN,miz,2,0.05742052063549679,282
combined_nsr,CNN,miz,3,0.07276859602326792,282
combined_nsr,CNN,miz,4,0.08542323811606112,282
combined_nsr,CNN,miz,5,0.09587331107227316,282
combined_nsr,CNN,miz,6,0.10467936144952167,282
combined_nsr,CNN,miz,7,0.11299354082122864,282
combined_nsr,CNN,miz,8,0.12092675277292018,282
combined_nsr,CNN,miz,9,0.12783936027826526,282
combined_nsr,CNN,miz,10,0.1342059846578352,282
combined_nsr,CNN,miz,11,0.14027839314168808,282
combined_nsr,CNN,miz,12,0.14670877246912373,282
combined_nsr,CNN,miz,13,0.15098994599328536,282
combined_nsr,CNN,miz,14,0.15518553019764175,282
combined_nsr,CNN,miz,15,0.1595578113575307,282
combined_nsr,CNN,miz,16,0.16403399843133665,282
combined_nsr,CNN,miz,17,0.16860456498814844,282
combined_nsr,CNN,miz,18,0.17323121789218798,282
combined_nsr,CNN,miz,19,0.17822908804802573,282
combined_nsr,CNN,miz,20,0.18360451824572402,282
combined_nsr,CNN,miz,21,0.18832313076026413,282
combined_nsr,CNN,miz,22,0.19306505168512805,282
combined_nsr,CNN,miz,23,0.1977724677695379,282
combined_nsr,CNN,miz,24,0.20221720483110567,282
combined_nsr,CNN,miz,25,0.2071097786796333,282
combined_nsr,CNN,miz,26,0.21302971826893274,282
combined_nsr,CNN,miz,27,0.21866282543578236,282
combined_nsr,CNN,miz,28,0.2240007377692511,282
combined_nsr,CNN,miz,29,0.22927648408135412,282
combined_nsr,CNN,miz,30,0.23475749864850354,282
combined_nsr,CNN,open_water,1,0.013827877563370793,282
combined_nsr,CNN,open_water,2,0.01965040641044617,282
combined_nsr,CNN,open_water,3,0.024526740112924883,282
combined_nsr,CNN,open_water,4,0.029188292231840468,282
combined_nsr,CNN,open_water,5,0.03382036881857609,282
combined_nsr,CNN,open_water,6,0.03846005373044524,282
combined_nsr,CNN,open_water,7,0.04226039461337089,282
combined_nsr,CNN,open_water,8,0.04558996129544458,282
combined_nsr,CNN,open_water,9,0.048822620289162,282
combined_nsr,CNN,open_water,10,0.051625321684426594,282
combined_nsr,CNN,open_water,11,0.05375084781796,282
combined_nsr,CNN,open_water,12,0.05453080911081629,282
combined_nsr,CNN,open_water,13,0.05699715755221343,282
combined_nsr,CNN,open_water,14,0.059128223907750646,282
combined_nsr,CNN,open_water,15,0.06098775345147993,282
combined_nsr,CNN,open_water,16,0.0626495109987783,282
combined_nsr,CNN,open_water,17,0.06422025706846458,282
combined_nsr,CNN,open_water,18,0.06583102075347098,282
combined_nsr,CNN,open_water,19,0.06707709858392016,282
combined_nsr,CNN,open_water,20,0.06796286667870001,282
combined_nsr,CNN,open_water,21,0.0691771358218472,282
combined_nsr,CNN,open_water,22,0.07022670627253219,282
combined_nsr,CNN,open_water,23,0.07110159077015016,282
combined_nsr,CNN,open_water,24,0.0719689413396407,282
combined_nsr,CNN,open_water,25,0.07258621223325436,282
combined_nsr,CNN,open_water,26,0.0724920334290209,282
combined_nsr,CNN,open_water,27,0.0725582617012903,282
combined_nsr,CNN,open_water,28,0.0727948916482152,282
combined_nsr,CNN,open_water,29,0.07309834486248558,282
combined_nsr,CNN,open_water,30,0.07344734872031433,282
combined_nsr,GNN,compact_ice,1,0.028525195398089818,282
combined_nsr,GNN,compact_ice,2,0.04513104354467117,282
combined_nsr,GNN,compact_ice,3,0.05774204769354291,282
combined_nsr,GNN,compact_ice,4,0.06771430065812542,282
combined_nsr,GNN,compact_ice,5,0.07441463345031736,282
combined_nsr,GNN,compact_ice,6,0.08065318436478061,282
combined_nsr,GNN,compact_ice,7,0.0861967191432765,282
combined_nsr,GNN,compact_ice,8,0.09525095095248257,282
combined_nsr,GNN,compact_ice,9,0.10102793041666978,282
combined_nsr,GNN,compact_ice,10,0.10897370460188127,282
combined_nsr,GNN,compact_ice,11,0.11709137517279586,282
combined_nsr,GNN,compact_ice,12,0.12549659525756665,282
combined_nsr,GNN,compact_ice,13,0.13198755993083128,282
combined_nsr,GNN,compact_ice,14,0.1393725362306944,282
combined_nsr,GNN,compact_ice,15,0.14564351590965208,282
combined_nsr,GNN,compact_ice,16,0.1524444856996621,282
combined_nsr,GNN,compact_ice,17,0.16026314675661402,282
combined_nsr,GNN,compact_ice,18,0.1675105399398406,282
combined_nsr,GNN,compact_ice,19,0.17422831517210277,282
combined_nsr,GNN,compact_ice,20,0.18175414390242658,282
combined_nsr,GNN,compact_ice,21,0.18864198204365176,282
combined_nsr,GNN,compact_ice,22,0.20043153305255856,282
combined_nsr,GNN,compact_ice,23,0.20855457864281926,282
combined_nsr,GNN,compact_ice,24,0.21716843643381364,282
combined_nsr,GNN,compact_ice,25,0.22395864487256475,282
combined_nsr,GNN,compact_ice,26,0.2338192587233134,282
combined_nsr,GNN,compact_ice,27,0.24047009995432797,282
combined_nsr,GNN,compact_ice,28,0.24992267201423998,282
combined_nsr,GNN,compact_ice,29,0.25823397433416945,282
combined_nsr,GNN,compact_ice,30,0.2667756007087298,282
combined_nsr,GNN,miz,1,0.038700168442666195,282
combined_nsr,GNN,miz,2,0.059406920530984696,282
combined_nsr,GNN,miz,3,0.07543837935761297,282
combined_nsr,GNN,miz,4,0.08957891239741082,282
combined_nsr,GNN,miz,5,0.1009110205996554,282
combined_nsr,GNN,miz,6,0.11158583329347206,282
combined_nsr,GNN,miz,7,0.12105430545358704,282
combined_nsr,GNN,miz,8,0.12877012527908985,282
combined_nsr,GNN,miz,9,0.13719660276056353,282
combined_nsr,GNN,miz,10,0.1452058301441725,282
combined_nsr,GNN,miz,11,0.15197374542564585,282
combined_nsr,GNN,miz,12,0.15914837705421533,282
combined_nsr,GNN,miz,13,0.1660395104067374,282
combined_nsr,GNN,miz,14,0.17150206662148768,282
combined_nsr,GNN,miz,15,0.17726883312269762,282
combined_nsr,GNN,miz,16,0.18347398835771753,282
combined_nsr,GNN,miz,17,0.1892190150246609,282
combined_nsr,GNN,miz,18,0.19478689412653377,282
combined_nsr,GNN,miz,19,0.20061856771837677,282
combined_nsr,GNN,miz,20,0.20552877179754975,282
combined_nsr,GNN,miz,21,0.21007533051369884,282
combined_nsr,GNN,miz,22,0.213596533961502,282
combined_nsr,GNN,miz,23,0.21814996026449615,282
combined_nsr,GNN,miz,24,0.22347646378988417,282
combined_nsr,GNN,miz,25,0.2292540734667131,282
combined_nsr,GNN,miz,26,0.23375343061387874,282
combined_nsr,GNN,miz,27,0.2391241626855459,282
combined_nsr,GNN,miz,28,0.24333265392207387,282
combined_nsr,GNN,miz,29,0.24746946444438975,282
combined_nsr,GNN,miz,30,0.2518373572463357,282
combined_nsr,GNN,open_water,1,0.017477284938603902,282
combined_nsr,GNN,open_water,2,0.02783524108085511,282
combined_nsr,GNN,open_water,3,0.037790282806999566,282
combined_nsr,GNN,open_water,4,0.04708853035455861,282
combined_nsr,GNN,open_water,5,0.0566956402118035,282
combined_nsr,GNN,open_water,6,0.06535628073808392,282
combined_nsr,GNN,open_water,7,0.07445059393896217,282
combined_nsr,GNN,open_water,8,0.08212994104120303,282
combined_nsr,GNN,open_water,9,0.08894000786726707,282
combined_nsr,GNN,open_water,10,0.09477803273265896,282
combined_nsr,GNN,open_water,11,0.10007837759700337,282
combined_nsr,GNN,open_water,12,0.10599560375817452,282
combined_nsr,GNN,open_water,13,0.11080944541741036,282
combined_nsr,GNN,open_water,14,0.11776761754869376,282
combined_nsr,GNN,open_water,15,0.12293841520486334,282
combined_nsr,GNN,open_water,16,0.12653624591094648,282
combined_nsr,GNN,open_water,17,0.1313907448179908,282
combined_nsr,GNN,open_water,18,0.13451813713184946,282
combined_nsr,GNN,open_water,19,0.13767538425894124,282
combined_nsr,GNN,open_water,20,0.1408230684014291,282
combined_nsr,GNN,open_water,21,0.14513313928535268,282
combined_nsr,GNN,open_water,22,0.14668694471317895,282
combined_nsr,GNN,open_water,23,0.14957694976512473,282
combined_nsr,GNN,open_water,24,0.15213540403038536,282
combined_nsr,GNN,open_water,25,0.15399998301070816,282
combined_nsr,GNN,open_water,26,0.15480757016039562,282
combined_nsr,GNN,open_water,27,0.15848431389318776,282
combined_nsr,GNN,open_water,28,0.16155994412730892,282
combined_nsr,GNN,open_water,29,0.16403825121362559,282
combined_nsr,GNN,open_water,30,0.1657693211702529,282
combined_nsr,Three-model mean,compact_ice,1,0.029016763385006274,282
combined_nsr,Three-model mean,compact_ice,2,0.04542131073766601,282
combined_nsr,Three-model mean,compact_ice,3,0.058221865032314586,282
combined_nsr,Three-model mean,compact_ice,4,0.06909957644178549,282
combined_nsr,Three-model mean,compact_ice,5,0.07691463278262252,282
combined_nsr,Three-model mean,compact_ice,6,0.08475753827227235,282
combined_nsr,Three-model mean,compact_ice,7,0.09182725557506048,282
combined_nsr,Three-model mean,compact_ice,8,0.10177376492989607,282
combined_nsr,Three-model mean,compact_ice,9,0.1096287143370532,282
combined_nsr,Three-model mean,compact_ice,10,0.11908230122444838,282
combined_nsr,Three-model mean,compact_ice,11,0.12659048769529632,282
combined_nsr,Three-model mean,compact_ice,12,0.13667456646600906,282
combined_nsr,Three-model mean,compact_ice,13,0.14387008701654236,282
combined_nsr,Three-model mean,compact_ice,14,0.15099910167378786,282
combined_nsr,Three-model mean,compact_ice,15,0.1569888057316986,282
combined_nsr,Three-model mean,compact_ice,16,0.1629464688387225,282
combined_nsr,Three-model mean,compact_ice,17,0.16910806137138368,282
combined_nsr,Three-model mean,compact_ice,18,0.17446042914036142,282
combined_nsr,Three-model mean,compact_ice,19,0.18030352093847601,282
combined_nsr,Three-model mean,compact_ice,20,0.18579460193653607,282
combined_nsr,Three-model mean,compact_ice,21,0.19245269450682204,282
combined_nsr,Three-model mean,compact_ice,22,0.200930205950737,282
combined_nsr,Three-model mean,compact_ice,23,0.20792000305498298,282
combined_nsr,Three-model mean,compact_ice,24,0.21457103646857528,282
combined_nsr,Three-model mean,compact_ice,25,0.22039718674675138,282
combined_nsr,Three-model mean,compact_ice,26,0.22751950729790277,282
combined_nsr,Three-model mean,compact_ice,27,0.2339495854809572,282
combined_nsr,Three-model mean,compact_ice,28,0.24135848932520287,282
combined_nsr,Three-model mean,compact_ice,29,0.24785889670434808,282
combined_nsr,Three-model mean,compact_ice,30,0.2548296056028436,282
combined_nsr,Three-model mean,miz,1,0.03804775597709658,282
combined_nsr,Three-model mean,miz,2,0.05884431063133557,282
combined_nsr,Three-model mean,miz,3,0.07463619453465424,282
combined_nsr,Three-model mean,miz,4,0.0879051916227808,282
combined_nsr,Three-model mean,miz,5,0.09885338223395351,282
combined_nsr,Three-model mean,miz,6,0.10865801160168925,282
combined_nsr,Three-model mean,miz,7,0.11740090820198802,282
combined_nsr,Three-model mean,miz,8,0.12535046952513648,282
combined_nsr,Three-model mean,miz,9,0.1330095950031967,282
combined_nsr,Three-model mean,miz,10,0.14039120688171114,282
combined_nsr,Three-model mean,miz,11,0.1465263946450353,282
combined_nsr,Three-model mean,miz,12,0.1531433136520299,282
combined_nsr,Three-model mean,miz,13,0.15854666442879561,282
combined_nsr,Three-model mean,miz,14,0.16338046368045853,282
combined_nsr,Three-model mean,miz,15,0.16855598869082758,282
combined_nsr,Three-model mean,miz,16,0.17376358435742711,282
combined_nsr,Three-model mean,miz,17,0.17859017914298528,282
combined_nsr,Three-model mean,miz,18,0.18388501601191373,282
combined_nsr,Three-model mean,miz,19,0.18879725247465856,282
combined_nsr,Three-model mean,miz,20,0.19330136544563273,282
combined_nsr,Three-model mean,miz,21,0.19779038199580073,282
combined_nsr,Three-model mean,miz,22,0.2016490818274899,282
combined_nsr,Three-model mean,miz,23,0.20587898705005228,282
